iter	MultiClass
166	0.7828019349
167	0.7813905213
168	0.7808243255
169	0.7802415184
170	0.7794770698
171	0.7786966343
172	0.7779594079
173	0.7769651126
174	0.7762569133
175	0.7755373065
176	0.7747319265
177	0.7740427347
178	0.7729838802
179	0.7721646911
180	0.7710989361
181	0.7701575631
182	0.7689315104
183	0.7683545544
184	0.7678181371
185	0.7671086057
186	0.7665259506
187	0.7659615864
188	0.7650340306
189	0.7642781927
190	0.7635372984
191	0.7631135098
192	0.7621852485
193	0.7613979135
194	0.7609162491
195	0.7600766484
196	0.759372135
197	0.7585027238
198	0.7577192541
199	0.7570838735
200	0.7562884642
201	0.7558268975
202	0.7547108252
203	0.754023864
204	0.7533571625
205	0.752256271
206	0.7517811205
207	0.7508967248
208	0.7505196566
209	0.7497627402
210	0.7489236031
211	0.748359369
212	0.7478094178
213	0.7472274073
214	0.7461255314
215	0.7450112113
216	0.7435260475
217	0.7426581842
218	0.7421701816
219	0.741445253
220	0.7407927651
221	0.7393652658
222	0.7388959656
223	0.7384875036
224	0.7381157867
225	0.7375303014
226	0.7364438964
227	0.7358324037
228	0.735141318
229	0.7344543916
230	0.7339106587
231	0.732867828
232	0.731740321
233	0.7310117208
234	0.7298269909
235	0.7288936424
236	0.728134112
237	0.7273790031
238	0.7264869115
239	0.7257980463
240	0.72510627
241	0.7242406877
242	0.7233116627
243	0.7226731472
244	0.7221472115
245	0.7216257525
246	0.721004052
247	0.7201744863
248	0.7199026792
249	0.719348304
250	0.7181687371
251	0.7178557772
252	0.7172760326
253	0.7163179246
254	0.7156344654
255	0.7147858763
256	0.7138646377
257	0.7126890133
258	0.712131664
259	0.711575216
260	0.7109977308
261	0.710478483
262	0.7099077312
263	0.7091065848
264	0.7081435578
265	0.707605158
266	0.7068208442
267	0.7061138624
268	0.7054768463
269	0.7049353912
270	0.7037778975
271	0.7030500123
272	0.7025631681
273	0.70207867
274	0.7015354316
275	0.7001328168
276	0.6997013591
277	0.69893748
278	0.6981302737
279	0.697130523
280	0.6965591489
281	0.6958878304
282	0.6952107937
283	0.6948030494
284	0.694171627
285	0.6936085493
286	0.6925537267
287	0.6919625428
288	0.6908193448
289	0.6901817795
290	0.6889798864
291	0.6883280026
292	0.6876600614
293	0.6870484219
294	0.6866154113
295	0.6859919191
296	0.6854189255
297	0.6847547063
298	0.6845045981
299	0.6840764075
300	0.6835344138
301	0.6830131614
302	0.6819623581
303	0.681441691
304	0.6811102324
305	0.6807426722
306	0.6801193735
307	0.6795882444
308	0.6789031507
309	0.6783109463
310	0.6778306957
311	0.6769775707
312	0.6764642928
313	0.6760880145
314	0.6751746129
315	0.6740847492
316	0.6737275571
317	0.6732734338
318	0.6729428829
319	0.6724384754
320	0.6717030094
321	0.6710520422
322	0.6707009007
323	0.6703732242
324	0.6699471428
325	0.6687587433
326	0.6682352236
327	0.667692908
328	0.6671411459
329	0.666110559
330	0.6656109983
331	0.6650458154
332	0.6645421376
333	0.6638982003
334	0.6636763068
335	0.6632081452
336	0.6624544419
337	0.6618502053
338	0.6612943999
339	0.6606073862
340	0.6597186899
341	0.6588308011
342	0.6584162787
343	0.6581340307
344	0.6576234696
345	0.6572044717
346	0.6563945804
347	0.6558617965
348	0.6552769374
349	0.6548980912
350	0.6544762202
351	0.6539025258
352	0.6535824356
353	0.6527452509
354	0.6522872562
355	0.6519345066
356	0.6515468122
357	0.6513785735
358	0.6507040576
359	0.6501481315
360	0.6493555131
361	0.648608624
362	0.6481159787
363	0.6475664857
364	0.6470124951
365	0.646617838
366	0.6458844756
367	0.6452527426
368	0.6444530157
369	0.6437898753
370	0.643462467
371	0.6427034381
372	0.6422530978
373	0.6416326563
374	0.6412583225
375	0.640895805
376	0.6405012983
377	0.640026039
378	0.6397452907
379	0.6389403213
380	0.6380885604
381	0.6375784348
382	0.6373280695
383	0.6367385099
384	0.6363668516
385	0.6358084558
386	0.6348140463
387	0.6343917211
388	0.6339495731
389	0.6333243594
390	0.6329733236
391	0.6323251122
392	0.631848238
393	0.6313302515
394	0.630683902
395	0.6302034715
396	0.6298090498
397	0.6292456499
398	0.628744991
399	0.6283143512
400	0.6280428444
401	0.6274362238
402	0.6271808999
403	0.626608772
404	0.6258367269
405	0.6250702323
406	0.624307963
407	0.6240223951
408	0.6235139977
409	0.6231850344
410	0.6223250915
411	0.6213150463
412	0.6208170178
413	0.6204942056
414	0.6201271676
415	0.6196566285
416	0.6193683403
417	0.6188171428
418	0.6182527487
419	0.618016166
420	0.6177753142
421	0.617572105
422	0.617112458
423	0.6165145003
424	0.6162385454
425	0.615866923
426	0.6150239463
427	0.6143685438
428	0.6138722238
429	0.6132167458
430	0.6128498297
431	0.6123755975
432	0.6119442791
433	0.6112323455
434	0.6107375113
435	0.6103063008
436	0.6097980899
437	0.6094355613
438	0.6091288308
439	0.6087568555
440	0.6082921996
441	0.6079413786
442	0.6074310651
443	0.6065850812
444	0.6061101596
445	0.6055124059
446	0.605056566
447	0.6043223462
448	0.6035522478
449	0.6030789545
450	0.6026363708
451	0.6021015027
452	0.601700537
453	0.6014171626
454	0.6008435488
455	0.5999547538
456	0.5990961759
457	0.5987303764
458	0.5983560341
459	0.5979828437
460	0.5977142195
461	0.5974427168
462	0.5968761796
463	0.5961475233
464	0.5955753944
465	0.5949070297
466	0.5944155117
467	0.5942035582
468	0.5936913318
469	0.5931217982
470	0.5927463106
471	0.592476192
472	0.5920513065
473	0.5916466031
474	0.5911497022
475	0.5907614449
476	0.5903987595
477	0.5897729325
478	0.588848074
479	0.5885441493
480	0.5879644737
481	0.587635848
482	0.5867915124
483	0.586421057
484	0.5861228479
485	0.5858037911
486	0.5853878134
487	0.5848357263
488	0.5844150745
489	0.5842159545
490	0.5838156789
491	0.5827205024
492	0.5818571506
493	0.5814670622
494	0.5810432808
495	0.5804990914
496	0.579984805
497	0.5795737859
498	0.5793099927
499	0.579040924
500	0.5787014946
501	0.5782085759
502	0.5778526819
503	0.5775589065
504	0.5770297466
505	0.5765969689
506	0.5760395504
507	0.575448621
508	0.5749530511
509	0.5745426958
510	0.5739813548
511	0.5734926054
512	0.5730505574
513	0.5726881212
514	0.5723226695
515	0.5717782862
516	0.5715002644
517	0.5711225556
518	0.5707831178
519	0.5701568568
520	0.5696915907
521	0.5691588776
522	0.5682903492
523	0.5679154392
524	0.5674486203
525	0.5668881145
526	0.5664236144
527	0.5659163376
528	0.5656721939
529	0.5651168642
530	0.564597209
531	0.5642796851
532	0.5638897499
533	0.5632308887
534	0.5629519886
535	0.5626488125
536	0.562413418
537	0.5619211701
538	0.561666367
539	0.5613256348
540	0.5610476127
541	0.5602357829
542	0.5598392743
543	0.5593237614
544	0.5587552249
545	0.5583250167
546	0.5579908092
547	0.5575590179
548	0.5571308454
549	0.5567159881
550	0.5564023951
551	0.5557107142
552	0.5551902052
553	0.5547636763
554	0.5539299538
555	0.5536157816
556	0.5532306165
557	0.5526738613
558	0.552216989
559	0.5518889378
560	0.5512181673
561	0.5508170006
562	0.5502447188
563	0.549763268
564	0.5491412045
565	0.5487794435
566	0.548388036
567	0.5477996382
568	0.5472125675
569	0.5468512041
570	0.5465309058
571	0.5461714132
572	0.5457311654
573	0.5454704902
574	0.5449188268
575	0.5444597468
576	0.54405736
577	0.5435276822
578	0.5429798628
579	0.5425189535
580	0.5421717985
581	0.541801967
582	0.541504451
583	0.5410001327
584	0.5405498804
585	0.5402714343
586	0.5398379436
587	0.5394764472
588	0.53895143
589	0.5386573975
590	0.5380596782
591	0.5374925521
592	0.5372699488
593	0.5371002122
594	0.5364594813
595	0.5360662471
596	0.535771483
597	0.5355581029
598	0.5352714704
599	0.5349689877
600	0.5346074871
601	0.5341855394
602	0.5339571031
603	0.5334496077
604	0.5331205172
605	0.5325768327
606	0.5321880203
607	0.5318901084
608	0.5314592012
609	0.5313221906
610	0.5310032745
611	0.5303450354
612	0.5299102126
613	0.5295747362
614	0.5290994135
615	0.5284493018
616	0.5281875653
617	0.5278949628
618	0.5274740333
619	0.5271779275
620	0.5268867016
621	0.5265387491
622	0.5262890924
623	0.5259032998
624	0.5256572907
625	0.5253173189
626	0.5249522204
627	0.5246293244
628	0.5243751368
629	0.5239444312
630	0.5234776372
631	0.5231700269
632	0.5226873585
633	0.5223463232
634	0.5221558229
635	0.5218761561
636	0.5213508026
637	0.5211822262
638	0.5207579665
639	0.5202837578
640	0.5200904078
641	0.5196806695
642	0.5193185321
643	0.5190882469
644	0.5185207054
645	0.518231832
646	0.5179364153
647	0.5177372612
648	0.5173755987
649	0.5171048318
650	0.5167237646
651	0.5165588478
652	0.5161808799
653	0.5159128809
654	0.5153293768
655	0.51485248
656	0.5145040635
657	0.5140340395
658	0.5135292696
659	0.5131729165
660	0.5128547128
661	0.5125114301
662	0.5121941325
663	0.5115618433
664	0.5113822107
665	0.5111242776
666	0.5105350329
667	0.510020421
668	0.5096580156
669	0.5093145661
670	0.5088776246
671	0.5086051717
672	0.5083249087
673	0.5080262297
674	0.5077894446
675	0.507420218
676	0.5071408806
677	0.5068472457
678	0.5065202053
679	0.5062542804
680	0.5060136837
681	0.50548759
682	0.5052794663
683	0.5049274754
684	0.5045433253
685	0.5041909324
686	0.5038384611
687	0.5034124106
688	0.5031330547
689	0.5028487254
690	0.5024535657
691	0.5020344142
692	0.501587931
693	0.5013383179
694	0.5010534082
695	0.5007378086
696	0.500379478
697	0.4999316529
698	0.4994761187
699	0.498942511
700	0.4984380866
701	0.4980162693
702	0.4975948857
703	0.4973463269
704	0.4970102829
705	0.4964290337
706	0.4961119436
707	0.4958168309
708	0.4953706293
709	0.4950435607
710	0.494669087
711	0.4942159917
712	0.4938101427
713	0.4935841826
714	0.492965946
715	0.4925172263
716	0.4922115783
717	0.492045863
718	0.4916143119
719	0.4913386404
720	0.4909853742
721	0.4907278204
722	0.4902643289
723	0.4898540897
724	0.4896129606
725	0.4894633877
726	0.4890983522
727	0.4888437881
728	0.4883844729
729	0.4880935456
730	0.4878891456
731	0.4877106317
732	0.4869810585
733	0.4866366888
734	0.4863794785
735	0.485908523
736	0.4856690552
737	0.4852903585
738	0.4848814464
739	0.4845637852
740	0.4843089749
741	0.4839746935
742	0.4834406334
743	0.4833230317
744	0.4827843595
745	0.482545152
746	0.4822769035
747	0.4820200948
748	0.4815095351
749	0.4813401764
750	0.4811447466
751	0.4809333422
752	0.480549964
753	0.4804403881
754	0.4802087463
755	0.4800583968
756	0.4798245662
757	0.4796127568
758	0.4792860378
759	0.4790343388
760	0.4787531244
761	0.4783024098
762	0.4779607709
763	0.4777078162
764	0.4773843015
765	0.4771027836
766	0.4767714623
767	0.4763563084
768	0.4757622976
769	0.4754250455
770	0.4747948757
771	0.4745094603
772	0.4740670004
773	0.4738492347
774	0.4735725305
775	0.47325789
776	0.4729514774
777	0.4726116155
778	0.4722818152
779	0.4721443472
780	0.4719045725
781	0.471661083
782	0.4714090875
783	0.4711611897
784	0.4706773642
785	0.4703619652
786	0.4701014276
787	0.4698225395
788	0.4694697229
789	0.4692261034
790	0.4689647535
791	0.4687059279
792	0.4681673809
793	0.467865436
794	0.4674335564
795	0.4672227157
796	0.466827706
797	0.466567441
798	0.4663722342
799	0.4660519891
800	0.4657603157
801	0.4654415312
802	0.4651410861
803	0.4645207084
804	0.4643092415
805	0.4637224304
806	0.4634442461
807	0.4629511239
808	0.4626532978
809	0.4622610076
810	0.4619250842
811	0.4617492612
812	0.4614588363
813	0.4612437643
814	0.4609499014
815	0.4607198797
816	0.4604014696
817	0.4602194606
818	0.4598072333
819	0.4594638486
820	0.4591279019
821	0.458906837
822	0.4582967347
823	0.4581110448
824	0.4578811026
825	0.4576607157
826	0.4574038052
827	0.4571985788
828	0.4567405065
829	0.4560768175
830	0.4557288321
831	0.4554605468
832	0.4552544845
833	0.4551129654
834	0.4549998383
835	0.4545905454
836	0.4542976444
837	0.4538567343
838	0.4535440037
839	0.4533499659
840	0.4532316264
841	0.4530067531
842	0.4526506109
843	0.4524130212
844	0.4522307889
845	0.4517671149
846	0.4516335294
847	0.4513264781
848	0.4510840729
849	0.450818791
850	0.4502987508
851	0.4499155571
852	0.4497398638
853	0.4494818491
854	0.449364399
855	0.4491272134
856	0.4487731103
857	0.4483292926
858	0.4479664619
859	0.4477287697
860	0.4475287556
861	0.4472686667
862	0.447038776
863	0.4468857313
864	0.4465394191
865	0.4462666704
866	0.4460421573
867	0.4458038127
868	0.4456173207
869	0.4454316301
870	0.4452150754
871	0.4450731587
872	0.444799899
873	0.4446884272
874	0.4445292446
875	0.4444264963
876	0.4440407993
877	0.4439164998
878	0.4436132599
879	0.443223847
880	0.4429162933
881	0.4427385992
882	0.4424389207
883	0.4422640826
884	0.4420473041
885	0.4418962403
886	0.4417480632
887	0.4414658046
888	0.4410904982
889	0.4409132077
890	0.4404857547
891	0.4402966766
892	0.4400582642
893	0.4397250592
894	0.4393353983
895	0.4390253257
896	0.4385132619
897	0.4383043169
898	0.4379649388
899	0.4376365481
900	0.4373572833
901	0.4372238187
902	0.4370403578
903	0.4366694112
904	0.4362587678
905	0.4360793607
906	0.4357408348
907	0.435579962
908	0.4353051932
909	0.435040759
910	0.4348857387
911	0.4347179966
912	0.4343625348
913	0.4341900213
914	0.4339733283
915	0.433817824
916	0.4334079079
917	0.4331697533
918	0.4327120948
919	0.4324326061
920	0.4323068849
921	0.4320001239
922	0.4317064387
923	0.4313697135
924	0.4309990963
925	0.4307173051
926	0.430479165
927	0.4301805789
928	0.429947156
929	0.4296982797
930	0.4293782089
931	0.4289481339
932	0.4286814039
933	0.4284369717
934	0.4282632851
935	0.4281126763
936	0.4278798158
937	0.4277175051
938	0.4273532758
939	0.4271783291
940	0.4269296042
941	0.4267173825
942	0.4264421125
943	0.4261598359
944	0.4259848949
945	0.425664794
946	0.4251465972
947	0.4249709072
948	0.4248111487
949	0.4246684401
950	0.4245463628
951	0.4244265523
952	0.424183847
953	0.4239073813
954	0.4237781571
955	0.4234763684
956	0.4233037478
957	0.423013077
958	0.4228364078
959	0.4224299286
960	0.4219276528
961	0.421703522
962	0.4214960477
963	0.4211696753
964	0.421060084
965	0.4207537683
966	0.4205184196
967	0.4202440219
968	0.419979665
969	0.4197276028
970	0.4195948936
971	0.4194501971
972	0.4191465974
973	0.4188307667
974	0.4187034827
975	0.4185034483
976	0.4183642035
977	0.4180648982
978	0.4178331781
979	0.4175379788
980	0.4173648593
981	0.4171636782
982	0.4168748355
983	0.4166524216
984	0.4164757966
985	0.4162399454
986	0.4160482694
987	0.4155058146
988	0.4152411436
989	0.4150341551
990	0.4147533757
991	0.4145490703
992	0.4141616096
993	0.4140363614
994	0.4138714947
995	0.4137482208
996	0.4135014676
997	0.413241915
998	0.4130237857
999	0.4128574415
