iter	Logloss
0	0.6597432762
1	0.6292868947
2	0.5942391372
3	0.5690603512
4	0.5446477474
5	0.5222775962
6	0.4987297463
7	0.4797715903
8	0.4626433015
9	0.4477867451
10	0.4325368933
11	0.4209692523
12	0.4085496094
13	0.3951830057
14	0.3828742485
15	0.3744140498
16	0.3654785806
17	0.3545265257
18	0.3467773363
19	0.3394616784
20	0.3329614392
21	0.3270030529
22	0.3212435527
23	0.3129789768
24	0.3079117594
25	0.3024405976
26	0.2981618966
27	0.2925538408
28	0.2879594548
29	0.2831943159
30	0.2796714391
31	0.2760150166
32	0.2726905593
33	0.268399743
34	0.2641356809
35	0.259173536
36	0.2559568272
37	0.2532725401
38	0.2506546234
39	0.2482110799
40	0.2454276865
41	0.242948872
42	0.2402570316
43	0.2380836767
44	0.2354929697
45	0.2337218553
46	0.2312085492
47	0.2291569838
48	0.2269044819
49	0.2250439709
50	0.2228571387
51	0.2214432395
52	0.2203850707
53	0.2180759888
54	0.216343863
55	0.2148251121
56	0.2130976118
57	0.2119228884
58	0.2097995182
59	0.2087526293
60	0.2072911282
61	0.2060367322
62	0.2049920748
63	0.2032956425
64	0.2020612401
65	0.2003839958
66	0.1991973563
67	0.1984337784
68	0.1975506244
69	0.1963945129
70	0.1947225627
71	0.1932535497
72	0.1921395074
73	0.1908923467
74	0.1896789569
75	0.1884644077
76	0.187623146
77	0.1863475045
78	0.1851435892
79	0.1841403549
80	0.1830294546
81	0.1816813885
82	0.1809559586
83	0.1798240435
84	0.1790683124
85	0.1780025735
86	0.1767766662
87	0.1755925308
88	0.1746326425
89	0.1737130774
90	0.1727816915
91	0.1718277642
92	0.1711224013
93	0.1703726802
94	0.1694030385
95	0.1689147881
96	0.1680689761
97	0.1673869385
98	0.1666611134
99	0.1657683839
100	0.1653724555
101	0.1642648024
102	0.1635861321
103	0.1622679635
104	0.1614737595
105	0.1604192215
106	0.1595729795
107	0.1582023146
108	0.1568617829
109	0.1561675875
110	0.1554049892
111	0.1548025764
112	0.1540518577
113	0.153574114
114	0.1524458716
115	0.1516789329
116	0.1512007612
117	0.1505911814
118	0.1496645073
119	0.1490906165
120	0.1486353181
121	0.1479817132
122	0.1473594341
123	0.1463105789
124	0.14566017
125	0.1452005815
126	0.144360653
127	0.143965345
128	0.1435488387
129	0.142959657
130	0.1419947926
131	0.1411930386
132	0.1405380688
133	0.1398947623
134	0.1394072754
135	0.1387128443
136	0.1382764634
137	0.1378660125
138	0.1375443828
139	0.1370108455
140	0.1364466529
141	0.1356982255
142	0.1352115744
143	0.1345662897
144	0.1340757763
145	0.1333306099
146	0.132896805
147	0.1323995521
148	0.1317165363
149	0.1312432204
150	0.1306416405
151	0.1301529088
152	0.1297781615
153	0.1291945201
154	0.1287470371
155	0.1284581824
156	0.1280273245
157	0.1276590797
158	0.1271020137
159	0.1265939224
160	0.1259803334
161	0.1257267213
162	0.1253542701
163	0.1248864095
164	0.1246118143
165	0.1241944064
166	0.1240087886
167	0.1236133918
168	0.1230435336
169	0.1223851269
170	0.1217767293
171	0.1214303567
172	0.1210377488
173	0.1207457884
174	0.1204519067
175	0.1201377153
176	0.1194580213
177	0.1190983767
178	0.118691314
179	0.1181252352
180	0.117821674
181	0.117590003
182	0.117263035
183	0.1170862307
184	0.116487923
185	0.1160616497
186	0.1154745274
187	0.1149904677
188	0.1144330669
189	0.1138227668
190	0.1131437765
191	0.1128371454
192	0.1124467585
193	0.111730992
194	0.1114158061
195	0.11114294
196	0.1108557472
197	0.1105875341
198	0.1102814178
199	0.1099238214
200	0.1094079968
201	0.1089367009
202	0.1085105971
203	0.1080192291
204	0.1078024096
205	0.1074862176
206	0.1072233019
207	0.1069648808
208	0.1066450101
209	0.1061164028
210	0.1059169031
211	0.1054761648
212	0.1053509058
213	0.1049828556
214	0.1046373466
215	0.1043386523
216	0.1039326584
217	0.1034028345
218	0.1031102876
219	0.1028643775
220	0.1023156362
221	0.1020118689
222	0.1016699115
223	0.1013685476
224	0.1007770165
225	0.1005328322
226	0.1003260672
227	0.1002289248
228	0.09998664302
229	0.09957541843
230	0.09914212828
231	0.09892977218
232	0.098407089
233	0.0981714869
234	0.0977379613
235	0.09726025276
236	0.09676636869
237	0.09652333542
238	0.09631073083
239	0.09593686663
240	0.09570662784
241	0.09545448207
242	0.09503630552
243	0.09462489849
244	0.09437295277
245	0.09423882319
246	0.09388435721
247	0.09349296543
248	0.09318983061
249	0.09283259603
250	0.09257889628
251	0.09227116182
252	0.09184184669
253	0.09134284664
254	0.09105111224
255	0.09070518785
256	0.09046078705
257	0.09027707448
258	0.08999003406
259	0.08966642879
260	0.08934644607
261	0.08897717202
262	0.08869075259
263	0.08850106519
264	0.08821119323
265	0.0880863103
266	0.08790514691
267	0.08760782409
268	0.08730347837
269	0.08685102045
270	0.08651080235
271	0.08605161613
272	0.08571231866
273	0.08546239526
274	0.08515992983
275	0.08485332005
276	0.08474543063
277	0.08444432805
278	0.08425501328
279	0.08405287744
280	0.08387108661
281	0.08341431654
282	0.08313759261
283	0.08278820628
284	0.08249543024
285	0.08213969392
286	0.08190881663
287	0.08167272465
288	0.0813990473
289	0.08115369688
290	0.08084358433
291	0.08057166329
292	0.08027408889
293	0.08011472911
294	0.07979480434
295	0.07940008474
296	0.07901356768
297	0.07876017501
298	0.07867413049
299	0.07825942732
300	0.07797175198
301	0.07782912727
302	0.07757188352
303	0.07739172292
304	0.07704038328
305	0.07674645966
306	0.07637198197
307	0.07618440081
308	0.07595930265
309	0.07572496812
310	0.07541469205
311	0.0753137501
312	0.07502766722
313	0.07487879275
314	0.07475773246
315	0.07450078057
316	0.07436042312
317	0.07400066603
318	0.07372718655
319	0.07353560059
320	0.0732003601
321	0.07293714894
322	0.07275870349
323	0.07249691209
324	0.07226510358
325	0.07201345185
326	0.07163972788
327	0.07128911284
328	0.07096453147
329	0.07068860278
330	0.07041805579
331	0.07014892306
332	0.06978358916
333	0.06947433345
334	0.06935334013
335	0.0690758336
336	0.06889897607
337	0.06866063381
338	0.0683418999
339	0.06796078791
340	0.06773534385
341	0.06745472703
342	0.0672878179
343	0.06708103621
344	0.06690635588
345	0.06674256078
346	0.06659564626
347	0.0663601769
348	0.06623175925
349	0.06602814538
350	0.06574518163
351	0.06555166306
352	0.06526792039
353	0.06506146294
354	0.06477056018
355	0.06444663586
356	0.0642997814
357	0.06421581026
358	0.06401063152
359	0.06362815656
360	0.0634193417
361	0.0632914132
362	0.06313475605
363	0.0628697708
364	0.06266863744
365	0.06255208881
366	0.0624690099
367	0.06219674897
368	0.06201296748
369	0.06178520665
370	0.06157570564
371	0.06143558515
372	0.06122386288
373	0.06105269536
374	0.06083097619
375	0.06073512309
376	0.06062832047
377	0.06038244274
378	0.06019004096
379	0.05985897398
380	0.05957881136
381	0.05940713788
382	0.05917998608
383	0.05893480794
384	0.05874339408
385	0.05867248809
386	0.05848690081
387	0.05831359921
388	0.05815404828
389	0.0579237403
390	0.0577911919
391	0.05754769122
392	0.05731976368
393	0.05714598962
394	0.05701379676
395	0.05683050452
396	0.05662984767
397	0.05645847278
398	0.05621862831
399	0.05618358048
400	0.05599217944
401	0.05580802371
402	0.05575571361
403	0.05560006652
404	0.05542418261
405	0.0552165589
406	0.05502605898
407	0.05492949122
408	0.0547582124
409	0.05457322932
410	0.0543541712
411	0.05422098563
412	0.05405707876
413	0.05387999867
414	0.05386136882
415	0.05369812807
416	0.05347580768
417	0.05331097034
418	0.05322018893
419	0.05307344462
420	0.05285346994
421	0.05273064155
422	0.05254314012
423	0.05235575331
424	0.05223913521
425	0.05209162139
426	0.05196178614
427	0.05187235874
428	0.05169868268
429	0.05160997828
430	0.05138930918
431	0.05126795091
432	0.05104461815
433	0.05090195087
434	0.05079124083
435	0.05062943929
436	0.05043074068
437	0.05027028664
438	0.0501379926
439	0.04999709909
440	0.04997341771
441	0.04984826891
442	0.04964823731
443	0.04958810967
444	0.04956694477
445	0.04950436611
446	0.04935687388
447	0.0492178794
448	0.04914400491
449	0.04894484519
450	0.04881601448
451	0.04863950671
452	0.04851953437
453	0.04834243343
454	0.0482677491
455	0.04820647446
456	0.04808479701
457	0.04799609437
458	0.04795580638
459	0.04781790093
460	0.04776151683
461	0.04765392661
462	0.0475185331
463	0.04735850195
464	0.04717652204
465	0.04707516469
466	0.04698569925
467	0.04689258021
468	0.04670734355
469	0.0466421288
470	0.04647055716
471	0.0463441987
472	0.04625786877
473	0.04600621816
474	0.04596727814
475	0.04593279244
